,bairro,nome,geojson
0,BOA VISTA,UMS ABAETE,"{""type"":""Point"",""coordinates"":[-49.2451074969307,-25.3796734913679]}"
1,ABRANCHES,UMS ABRANCHES,"{""type"":""Point"",""coordinates"":[-49.2723850546209,-25.3811587546513]}"
2,UBERABA,UMS ALVORADA,"{""type"":""Point"",""coordinates"":[-49.2062063239673,-25.4945848427448]}"
3,CIDADE INDUSTRIAL,UMS ATENAS,"{""type"":""Point"",""coordinates"":[-49.353743760904,-25.4534720695307]}"
4,ATUBA,UMS ATUBA,"{""type"":""Point"",""coordinates"":[-49.2034073151008,-25.3943669184267]}"
5,CIDADE INDUSTRIAL,UMS AUGUSTA,"{""type"":""Point"",""coordinates"":[-49.3492853909396,-25.4564065918351]}"
6,NOVO MUNDO,UMS AURORA,"{""type"":""Point"",""coordinates"":[-49.3079905941992,-25.4908153822565]}"
7,BACACHERI,UMS BACACHERI,"{""type"":""Point"",""coordinates"":[-49.2389342091554,-25.4003713154114]}"
8,BAIRRO ALTO,UMS BAIRRO ALTO,"{""type"":""Point"",""coordinates"":[-49.2045515681314,-25.4135688041725]}"
9,SÍTIO CERCADO,UMS BAIRRO NOVO,"{""type"":""Point"",""coordinates"":[-49.2628066029078,-25.5467519773315]}"
10,SÍTIO CERCADO,UMS BAIRRO NOVO,"{""type"":""Point"",""coordinates"":[-49.2629050260644,-25.5466930794293]}"
11,CIDADE INDUSTRIAL,UMS BARIGUI,"{""type"":""Point"",""coordinates"":[-49.3348624822287,-25.4955093097148]}"
12,BARREIRINHA,UMS BARREIRINHA,"{""type"":""Point"",""coordinates"":[-49.2627446543586,-25.3636762002865]}"
13,VISTA ALEGRE,UMS BOM PASTOR,"{""type"":""Point"",""coordinates"":[-49.3006231510206,-25.4131406114443]}"
14,BUTIATUVINHA,UMS BUTIATUVINHA,"{""type"":""Point"",""coordinates"":[-49.3499899818517,-25.3917122073014]}"
15,CIDADE INDUSTRIAL,UMS CAIUA,"{""type"":""Point"",""coordinates"":[-49.352906795534,-25.4836736826316]}"
16,CAJURU,UMS CAJURU,"{""type"":""Point"",""coordinates"":[-49.217009269515,-25.4518191285795]}"
17,CAJURU,UMS CAMARGO,"{""type"":""Point"",""coordinates"":[-49.2142497397043,-25.4613445639161]}"
18,CAMPINA DO SIQUEIRA,UMS CAMPINA DO SIQUEIRA,"{""type"":""Point"",""coordinates"":[-49.3068798877228,-25.4374012584813]}"
19,CIDADE INDUSTRIAL,UMS CANDIDO PORTINARI,"{""type"":""Point"",""coordinates"":[-49.3487374772863,-25.4928665261398]}"
20,PRADO VELHO,UMS CAPANEMA,"{""type"":""Point"",""coordinates"":[-49.2463095382473,-25.4496093501482]}"
21,CAXIMBA,UMS CAXIMBA,"{""type"":""Point"",""coordinates"":[-49.3458599270878,-25.6185694870246]}"
22,PINHEIRINHO,UMS CONCORDIA,"{""type"":""Point"",""coordinates"":[-49.2867719286703,-25.5281386590081]}"
23,CAMPO DE SANTANA,UMS DOM BOSCO,"{""type"":""Point"",""coordinates"":[-49.3187504180384,-25.5840904700454]}"
24,ALTO BOQUEIRÃO,UMS ERICO VERISSIMO,"{""type"":""Point"",""coordinates"":[-49.2499386553473,-25.532797782601]}"
25,XAXIM,UMS ESMERALDA,"{""type"":""Point"",""coordinates"":[-49.26899830693,-25.5079010515462]}"
26,FAZENDINHA,UMS ESTRELA,"{""type"":""Point"",""coordinates"":[-49.3172962546787,-25.4771336625664]}"
27,ALTO BOQUEIRÃO,UMS EUCALIPTOS,"{""type"":""Point"",""coordinates"":[-49.2403726776382,-25.5284644883073]}"
28,SANTA CÂNDIDA,UMS FERNANDO DE NORONHA,"{""type"":""Point"",""coordinates"":[-49.2374823459357,-25.3763111837272]}"
29,BAIRRO ALTO,UMS HIGIENOPOLIS,"{""type"":""Point"",""coordinates"":[-49.2157126517303,-25.4123578972536]}"
30,CAPÃO RASO,UMS IPIRANGA,"{""type"":""Point"",""coordinates"":[-49.2890935745853,-25.501670198376]}"
31,CAPÃO DA IMBÚIA,UMS IRACEMA,"{""type"":""Point"",""coordinates"":[-49.2170595245367,-25.43372078502]}"
32,BOQUEIRÃO,UMS IRMA TEREZA ARAUJO,"{""type"":""Point"",""coordinates"":[-49.2252334161606,-25.5161656974337]}"
33,CIDADE INDUSTRIAL,UMS JARDIM GABINETO,"{""type"":""Point"",""coordinates"":[-49.3595165003984,-25.4388160751622]}"
34,ALTO BOQUEIRÃO,UMS JARDIM PARANAENSE,"{""type"":""Point"",""coordinates"":[-49.2399877121031,-25.5404445379621]}"
35,SÍTIO CERCADO,UMS JOAO CANDIDO,"{""type"":""Point"",""coordinates"":[-49.2577917481204,-25.5408482013066]}"
36,UBERABA,UMS LOTIGUACU,"{""type"":""Point"",""coordinates"":[-49.2029583299743,-25.4853748163838]}"
37,SÃO FRANCISCO,UMS MAE CURITIBANA,"{""type"":""Point"",""coordinates"":[-49.2765704476421,-25.4260568301128]}"
